Unnamed: 0,Review,Liked,cleaned_review,predicted_sentiment,correct
50,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,ordered duck rare pink tender inside nice char outside,1,True
51,He came running after us when he realized my husband had left his sunglasses on the table.,1,came running u realized husband left sunglass table,1,True
52,Their chow mein is so good!,1,chow mein good,1,True
53,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,horrible attitude towards customer talk one customer enjoy food,0,True
54,The portion was huge!,1,portion huge,1,True
55,"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,loved friendly server great food wonderful imaginative menu,1,True
56,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,heart attack grill downtown vega absolutely flat lined excuse restaurant,0,True
57,Not much seafood and like 5 strings of pasta at the bottom.,0,much seafood like string pasta bottom,0,True
58,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,salad right amount sauce power scallop perfectly cooked,1,True
59,"The ripped banana was not only ripped, but petrified and tasteless.",0,ripped banana ripped petrified tasteless,0,True
60,At least think to refill my water before I struggle to wave you over for 10 minutes.,0,least think refill water struggle wave minute,0,True
61,This place receives stars for their APPETIZERS!!!,1,place receives star appetizer,1,True
62,The cocktails are all handmade and delicious.,1,cocktail handmade delicious,1,True
63,We'd definitely go back here again.,1,definitely go back,0,False
64,We are so glad we found this place.,1,glad found place,1,True
65,"Great food and service, huge portions and they give a military discount.",1,great food service huge portion give military discount,1,True
66,Always a great time at Dos Gringos!,1,always great time do gringo,1,True
67,Update.....went back for a second time and it was still just as amazing,1,update went back second time still amazing,1,True
68,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,got food apparently never heard salt batter fish chewy,0,True
69,A great way to finish a great.,1,great way finish great,1,True
70,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,deal included tasting drink jeff went beyond expected,0,False
71,"- Really, really good rice, all the time.",1,really really good rice time,1,True
72,The service was meh.,0,service meh,0,True
73,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,took min get milkshake nothing chocolate milk,0,True
74,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,guess known place would suck inside excalibur use common sense,0,True
75,The scallop dish is quite appalling for value as well.,0,scallop dish quite appalling value well,0,True
76,2 times - Very Bad Customer Service !,0,time bad customer service,0,True
77,The sweet potato fries were very good and seasoned well.,1,sweet potato fry good seasoned well,1,True
78,Today is the second time I've been to their lunch buffet and it was pretty good.,1,today second time lunch buffet pretty good,1,True
79,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,much good food vega feel cheated wasting eating opportunity going rice company,0,True
80,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,coming like experiencing underwhelming relationship party wait person ask break,0,True
81,walked in and the place smelled like an old grease trap and only 2 others there eating.,0,walked place smelled like old grease trap others eating,0,True
82,The turkey and roast beef were bland.,0,turkey roast beef bland,0,True
83,This place has it!,1,place,1,True
84,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,pan cake everyone raving taste like sugary disaster tailored palate six year old,0,True
85,I love the Pho and the spring rolls oh so yummy you have to try.,1,love pho spring roll oh yummy try,1,True
86,The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,poor batter meat ratio made chicken tender unsatisfying,0,True
87,All I have to say is the food was amazing!!!,1,say food amazing,1,True
88,Omelets are to die for!,1,omelet die,0,False
89,Everything was fresh and delicious!,1,everything fresh delicious,1,True
90,"In summary, this was a largely disappointing dining experience.",0,summary largely disappointing dining experience,0,True
91,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,like really sexy party mouth outrageously flirting hottest person party,1,True
92,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,never hard rock casino never ever step forward,0,True
93,Best breakfast buffet!!!,1,best breakfast buffet,1,True
94,say bye bye to your tip lady!,0,say bye bye tip lady,0,True
95,We'll never go again.,0,never go,0,True
96,Will be back again!,1,back,0,False
97,Food arrived quickly!,1,food arrived quickly,1,True
98,It was not good.,0,good,1,False
99,"On the up side, their cafe serves really good food.",1,side cafe serf really good food,1,True
100,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,server fantastic found wife love roasted garlic bone marrow added extra meal another marrow go,1,True
101,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,good thing waiter helpful kept bloddy mary coming,0,False
102,"Best Buffet in town, for the price you cannot beat it.",1,best buffet town price cannot beat,1,True
103,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,loved mussel cooked wine reduction duck tender potato dish delicious,1,True
104,This is one of the better buffets that I have been to.,1,one better buffet,0,False
105,So we went to Tigerlilly and had a fantastic afternoon!,1,went tigerlilly fantastic afternoon,1,True
106,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,food delicious bartender attentive personable got great deal,1,True
107,The ambience is wonderful and there is music playing.,1,ambience wonderful music playing,1,True
108,Will go back next trip out.,1,go back next trip,1,True
109,Sooooo good!!,1,sooooo good,1,True
110,"REAL sushi lovers, let's be honest - Yama is not that good.",0,real sushi lover let honest yama good,0,True
111,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,least min passed u ordering food arriving busy,0,True
112,This is a really fantastic Thai restaurant which is definitely worth a visit.,1,really fantastic thai restaurant definitely worth visit,1,True
113,"Nice, spicy and tender.",1,nice spicy tender,1,True
114,Good prices.,1,good price,1,True
115,Check it out.,1,check,1,True
116,It was pretty gross!,0,pretty gross,0,True
117,I've had better atmosphere.,0,better atmosphere,0,True
118,Kind of hard to mess up a steak but they did.,0,kind hard mess steak,0,True
119,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,although much liked look sound place actual experience bit disappointing,0,True
120,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,know place managed served blandest food ever eaten preparing indian cuisine,1,False
121,"Worst service to boot, but that is the least of their worries.",0,worst service boot least worry,0,True
122,Service was fine and the waitress was friendly.,1,service fine waitress friendly,1,True
123,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,guy steak steak loving son steak best worst place said best steak ever eaten,1,True
124,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,thought venture away get good sushi place really hit spot night,1,True
125,"Host staff were, for lack of a better word, BITCHES!",0,host staff lack better word bitch,0,True
126,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,bland liking place number reason want waste time bad reviewing leave,0,True
127,"Phenomenal food, service and ambiance.",1,phenomenal food service ambiance,1,True
128,I wouldn't return.,0,return,0,True
129,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,definitely worth venturing strip pork belly return next time vega,1,True
130,This place is way too overpriced for mediocre food.,0,place way overpriced mediocre food,0,True
131,Penne vodka excellent!,1,penne vodka excellent,1,True
132,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burger,1,True
133,The management is rude.,0,management rude,0,True
134,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,delicious nyc bagel good selection cream cheese real lox caper even,1,True
135,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,great subway fact good come every subway meet expectation,1,True
136,I had a seriously solid breakfast here.,1,seriously solid breakfast,1,True
137,This is one of the best bars with food in Vegas.,1,one best bar food vega,1,True
138,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,extremely rude really many restaurant would love dine weekend vega,0,True
139,My drink was never empty and he made some really great menu suggestions.,1,drink never empty made really great menu suggestion,1,True
140,Don't do it!!!!,0,,0,True
141,The waiter wasn't helpful or friendly and rarely checked on us.,0,waiter helpful friendly rarely checked u,0,True
142,My husband and I ate lunch here and were very disappointed with the food and service.,0,husband ate lunch disappointed food service,0,True
143,And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,red curry much bamboo shoot tasty,0,True
144,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,nice blanket moz top feel like done cover subpar food,1,True
145,The bathrooms are clean and the place itself is well decorated.,1,bathroom clean place well decorated,1,True
146,"The menu is always changing, food quality is going down & service is extremely slow.",0,menu always changing food quality going service extremely slow,0,True
147,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,service little slow considering served people server food coming slow pace,0,True
148,I give it 2 thumbs down,0,give thumb,0,True
149,We watched our waiter pay a lot more attention to other tables and ignore us.,0,watched waiter pay lot attention table ignore u,0,True
150,My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,fianc came middle day greeted seated right away,1,True
151,This is a great restaurant at the Mandalay Bay.,1,great restaurant mandalay bay,1,True
152,We waited for forty five minutes in vain.,0,waited forty five minute vain,0,True
153,Crostini that came with the salad was stale.,0,crostini came salad stale,0,True
154,Some highlights : Great quality nigiri here!,1,highlight great quality nigiri,1,True
155,the staff is friendly and the joint is always clean.,1,staff friendly joint always clean,1,True
156,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,different cut piece day still wonderful tender well well flavored,1,True
157,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,ordered voodoo pasta first time really excellent pasta since going gluten free several year ago,1,True
158,this place is good.,1,place good,1,True
159,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,unfortunately must hit bakery leftover day everything ordered stale,0,True
160,I came back today since they relocated and still not impressed.,0,came back today since relocated still impressed,0,True
161,I was seated immediately.,1,seated immediately,1,True
162,"Their menu is diverse, and reasonably priced.",1,menu diverse reasonably priced,1,True
163,Avoid at all cost!,0,avoid cost,0,True
164,Restaurant is always full but never a wait.,1,restaurant always full never wait,1,True
165,DELICIOUS!!,1,delicious,1,True
166,This place is hands-down one of the best places to eat in the Phoenix metro area.,1,place hand one best place eat phoenix metro area,1,True
167,So don't go there if you are looking for good food...,0,go looking good food,0,True
168,I've never been treated so bad.,0,never treated bad,0,True
169,Bacon is hella salty.,1,bacon hella salty,1,True
170,We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,0,also ordered spinach avocado salad ingredient sad dressing literally zero taste,0,True
171,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,really vega fine dining used right menu handed lady price listed,1,True
172,The waitresses are very friendly.,1,waitress friendly,1,True
173,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,lordy khao soi dish missed curry lover,1,True
174,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,everything menu terrific also thrilled made amazing accommodation vegetarian daughter,1,True
175,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,perhaps caught night judging review inspired go back,0,True
176,The service here leaves a lot to be desired.,0,service leaf lot desired,0,True
177,"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,atmosphere modern hip maintaining touch coziness,1,True
178,"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,weekly haunt definitely place come back every,1,True
179,We literally sat there for 20 minutes with no one asking to take our order.,0,literally sat minute one asking take order,0,True
180,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,burger absolutely flavor meat totally bland burger overcooked charcoal flavor,0,True
181,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,also decided send back waitress looked like verge heart attack,0,True
182,I dressed up to be treated so rudely!,0,dressed treated rudely,0,True
183,It was probably dirt.,0,probably dirt,0,True
184,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,love place hit spot want something healthy lacking quantity flavor,1,True
185,I ordered the Lemon raspberry ice cocktail which was also incredible.,1,ordered lemon raspberry ice cocktail also incredible,1,True
186,"The food sucked, which we expected but it sucked more than we could have imagined.",0,food sucked expected sucked could imagined,0,True
187,Interesting decor.,1,interesting decor,1,True
188,What I really like there is the crepe station.,1,really like crepe station,1,True
189,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,also served hot bread butter home made potato chip bacon bit top original good,1,True
190,you can watch them preparing the delicious food!),1,watch preparing delicious food,1,True
191,Both of the egg rolls were fantastic.,1,egg roll fantastic,1,True
192,"When my order arrived, one of the gyros was missing.",0,order arrived one gyro missing,0,True
193,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,salad wing ice cream dessert left feeling quite satisfied,1,True
194,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,really sure joey voted best hot dog valley reader phoenix magazine,0,True
195,The best place to go for a tasty bowl of Pho!,1,best place go tasty bowl pho,1,True
196,The live music on Fridays totally blows.,0,live music friday totally blow,0,True
197,I've never been more insulted or felt disrespected.,0,never insulted felt disrespected,0,True
198,Very friendly staff.,1,friendly staff,1,True
199,It is worth the drive.,1,worth drive,0,False
200,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,heard good thing place exceeding every hope could dreamed,1,True
201,Food was great and so was the serivce!,1,food great serivce,1,True
202,The warm beer didn't help.,0,warm beer help,0,True
203,Great brunch spot.,1,great brunch spot,1,True
204,Service is friendly and inviting.,1,service friendly inviting,1,True
205,Very good lunch spot.,1,good lunch spot,1,True
206,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,lived since first last time stepped foot place,0,True
207,The WORST EXPERIENCE EVER.,0,worst experience ever,0,True
208,Must have been an off night at this place.,0,must night place,1,False
209,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,side delish mixed mushroom yukon gold puree white corn beateous,1,True
210,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,bug never showed would given sure side wall bug climbing kitchen,0,True
211,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,minute waiting salad realized coming time soon,0,True
212,My friend loved the salmon tartar.,1,friend loved salmon tartar,1,True
213,Won't go back.,0,go back,0,True
214,Extremely Tasty!,1,extremely tasty,1,True
215,Waitress was good though!,1,waitress good though,1,True
216,Soggy and not good.,0,soggy good,0,True
217,The Jamaican mojitos are delicious.,1,jamaican mojitos delicious,1,True
218,Which are small and not worth the price.,0,small worth price,0,True
219,- the food is rich so order accordingly.,1,food rich order accordingly,1,True
220,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,shower area outside rinse take full shower unless mind nude everyone see,0,True
221,The service was a bit lacking.,0,service bit lacking,0,True
222,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,lobster bisque bussell sprout risotto filet needed salt pepper course none table,0,True
223,Hopefully this bodes for them going out of business and someone who can cook can come in.,0,hopefully bodes going business someone cook come,0,True
224,"It was either too cold, not enough flavor or just bad.",0,either cold enough flavor bad,0,True
225,I loved the bacon wrapped dates.,1,loved bacon wrapped date,1,True
226,This is an unbelievable BARGAIN!,1,unbelievable bargain,1,True
227,The folks at Otto always make us feel so welcome and special.,1,folk otto always make u feel welcome special,1,True
228,"As for the ""mains,"" also uninspired.",0,main also uninspired,0,True
229,This is the place where I first had pho and it was amazing!!,1,place first pho amazing,1,True
230,This wonderful experience made this place a must-stop whenever we are in town again.,1,wonderful experience made place must stop whenever town,1,True
231,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,food bad enough enjoy dealing world worst annoying drunk people,0,True
232,Very very fun chef.,1,fun chef,1,True
233,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,ordered double cheeseburger got single patty falling apart picture uploaded yeah still suck,0,True
234,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,great place couple drink watch sporting event wall covered tv,1,True
235,"If it were possible to give them zero stars, they'd have it.",0,possible give zero star,0,True
236,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,description said yum yum sauce another said eel sauce yet another said spicy mayo well none roll sauce,0,True
237,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,say would hardest decision honestly dish taste supposed taste amazing,0,False
238,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,rolled eye may stayed sure go back try,0,True
239,"Everyone is very attentive, providing excellent customer service.",1,everyone attentive providing excellent customer service,1,True
240,Horrible - don't waste your time and money.,0,horrible waste time money,0,True
241,Now this dish was quite flavourful.,1,dish quite flavourful,1,True
242,By this time our side of the restaurant was almost empty so there was no excuse.,0,time side restaurant almost empty excuse,0,True
243,"(It wasn't busy either) Also, the building was FREEZING cold.",0,busy either also building freezing cold,0,True
244,"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,like reviewer said pay eat place,0,True
245,-Drinks took close to 30 minutes to come out at one point.,0,drink took close minute come one point,0,True
246,"Seriously flavorful delights, folks.",1,seriously flavorful delight folk,1,True
247,Much better than the other AYCE sushi place I went to in Vegas.,1,much better ayce sushi place went vega,0,False
248,The lighting is just dark enough to set the mood.,1,lighting dark enough set mood,1,True
249,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,based sub par service received effort show gratitude business going back,0,True
250,Owner's are really great people.!,1,owner really great people,1,True
251,There is nothing privileged about working/eating there.,0,nothing privileged working eating,0,True
252,The Greek dressing was very creamy and flavorful.,1,greek dressing creamy flavorful,1,True
253,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,overall think would take parent place made similar complaint silently felt,0,True
254,Now the pizza itself was good the peanut sauce was very tasty.,1,pizza good peanut sauce tasty,1,True
255,We had 7 at our table and the service was pretty fast.,1,table service pretty fast,1,True
256,Fantastic service here.,1,fantastic service,1,True
257,I as well would've given godfathers zero stars if possible.,0,well would given godfather zero star possible,0,True
258,They know how to make them here.,1,know make,1,True
259,very tough and very short on flavor!,0,tough short flavor,0,True
260,I hope this place sticks around.,1,hope place stick around,1,True
261,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,bar vega ever recall charged tap water,1,False
262,The restaurant atmosphere was exquisite.,1,restaurant atmosphere exquisite,1,True
263,"Good service, very clean, and inexpensive, to boot!",1,good service clean inexpensive boot,1,True
264,The seafood was fresh and generous in portion.,1,seafood fresh generous portion,1,True
265,"Plus, it's only 8 bucks.",1,plus buck,0,False
266,"The service was not up to par, either.",0,service par either,0,True
267,"Thus far, have only visited twice and the food was absolutely delicious each time.",1,thus far visited twice food absolutely delicious time,1,True
268,Just as good as when I had it more than a year ago!,1,good year ago,1,True
269,"For a self proclaimed coffee cafe, I was wildly disappointed.",0,self proclaimed coffee cafe wildly disappointed,0,True
270,The Veggitarian platter is out of this world!,1,veggitarian platter world,1,True
271,You cant go wrong with any of the food here.,1,cant go wrong food,1,True
272,You can't beat that.,1,beat,1,True
273,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,stopped place madison ironman friendly kind staff,1,True
274,The chefs were friendly and did a good job.,1,chef friendly good job,1,True
275,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,better dedicated boba tea spot even jenni pho,1,False
276,I liked the patio and the service was outstanding.,1,liked patio service outstanding,1,True
277,The goat taco didn't skimp on the meat and wow what FLAVOR!,1,goat taco skimp meat wow flavor,0,False
278,I think not again,0,think,0,True
279,I had the mac salad and it was pretty bland so I will not be getting that again.,0,mac salad pretty bland getting,0,True
280,I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,went bachi burger friend recommendation disappointed,0,False
281,Service stinks here!,0,service stink,1,False
282,I waited and waited.,0,waited waited,0,True
283,"This place is not quality sushi, it is not a quality restaurant.",0,place quality sushi quality restaurant,0,True
284,I would definitely recommend the wings as well as the pizza.,1,would definitely recommend wing well pizza,1,True
285,Great Pizza and Salads!,1,great pizza salad,1,True
286,Things that went wrong: - They burned the saganaki.,0,thing went wrong burned saganaki,0,True
287,We waited an hour for what was a breakfast I could have done 100 times better at home.,0,waited hour breakfast could done time better home,0,True
288,This place is amazing!,1,place amazing,1,True
289,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,hate disagree fellow yelpers husband disappointed place,0,True
290,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,waited hour never got either pizza many around u came later,0,True
291,Just don't know why they were so slow.,0,know slow,0,True
292,"The staff is great, the food is delish, and they have an incredible beer selection.",1,staff great food delish incredible beer selection,1,True
293,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,live neighborhood disappointed back convenient location,0,True
294,I didn't know pulled pork could be soooo delicious.,1,know pulled pork could soooo delicious,1,True
295,"You get incredibly fresh fish, prepared with care.",1,get incredibly fresh fish prepared care,1,True
296,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,go gave star rating please know third time eating bachi burger writing review,0,True
297,I love the fact that everything on their menu is worth it.,1,love fact everything menu worth,1,True
298,Never again will I be dining at this place!,0,never dining place,0,True
299,The food was excellent and service was very good.,1,food excellent service good,1,True
300,Good beer & drink selection and good food selection.,1,good beer drink selection good food selection,1,True
301,Please stay away from the shrimp stir fried noodles.,0,please stay away shrimp stir fried noodle,0,True
302,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,potato chip order sad could probably count many chip box probably around,0,True
303,Food was really boring.,0,food really boring,0,True
304,Good Service-check!,1,good service check,1,True
305,This greedy corporation will NEVER see another dime from me!,0,greedy corporation never see another dime,0,True
306,"Will never, ever go back.",0,never ever go back,0,True
307,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,much like go back get passed atrocious service never return,0,True
308,"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,summer dine charming outdoor patio delightful,1,True
309,I did not expect this to be so good!,1,expect good,1,True
310,Fantastic food!,1,fantastic food,1,True
311,She ordered a toasted English muffin that came out untoasted.,0,ordered toasted english muffin came untoasted,0,True
312,The food was very good.,1,food good,1,True
313,Never going back.,0,never going back,0,True
314,"Great food for the price, which is very high quality and house made.",1,great food price high quality house made,1,True
315,The bus boy on the other hand was so rude.,0,bus boy hand rude,0,True
316,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,point friend basically figured place joke mind making publicly loudly known,0,True
317,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,back good bbq lighter fare reasonable pricing tell public back old way,1,True
318,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,considering two u left full happy go wrong,1,True
319,All the bread is made in-house!,1,bread made house,1,True
320,The only downside is the service.,0,downside service,0,True
321,"Also, the fries are without a doubt the worst fries I've ever had.",0,also fry without doubt worst fry ever,0,True
322,Service was exceptional and food was a good as all the reviews.,1,service exceptional food good review,1,True
323,"A couple of months later, I returned and had an amazing meal.",1,couple month later returned amazing meal,1,True
324,Favorite place in town for shawarrrrrrma!!!!!!,1,favorite place town shawarrrrrrma,1,True
325,The black eyed peas and sweet potatoes... UNREAL!,1,black eyed pea sweet potato unreal,1,True
326,You won't be disappointed.,1,disappointed,0,False
327,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,could serve vinaigrette may make better overall dish still good,1,True
328,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,go far many place never seen restaurant serf egg breakfast especially,1,False
329,When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,mom got home immediately got sick bite salad,0,True
330,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,server pleasant deal always honor pizza hut coupon,0,True
331,"Both of them were truly unbelievably good, and I am so glad we went back.",1,truly unbelievably good glad went back,1,True
